R,G,B,H,L,S,Count_df1,Count_df2
171,191,236,222,80,63,10,12.0
171,200,210,195,75,30,11,12.0
172,107,79,18,49,37,15,16.0
172,121,94,21,52,32,3,4.0
172,180,234,232,80,60,14,16.0
173,82,100,348,50,36,2,3.0
173,118,89,21,51,34,3,4.0
173,134,85,33,51,35,1,3.0
174,165,139,45,61,18,3,4.0
174,192,198,195,73,17,10,12.0
174,197,205,195,74,24,15,16.0
176,91,107,349,52,35,2,3.0
176,102,72,17,49,42,3,4.0
176,217,211,171,77,35,6,8.0
177,84,108,345,51,37,10,12.0
177,96,102,356,54,34,3,4.0
177,103,9,34,36,90,2,3.0
177,151,134,24,61,22,2,3.0
177,177,187,240,71,7,7,8.0
178,152,135,24,61,22,2,3.0
178,192,213,216,77,29,2,3.0
178,209,205,172,76,25,13,16.0
179,116,116,0,58,29,2,4.0
179,186,198,218,74,14,9,12.0
179,188,199,213,74,15,3,4.0
179,190,206,216,75,22,1,3.0
180,162,143,31,63,20,10,12.0
181,152,130,26,61,26,7,9.0
181,171,100,53,55,35,8,9.0
181,183,196,232,74,11,11,12.0
182,95,83,7,52,40,3,4.0
182,105,64,21,48,48,3,4.0
184,96,82,8,52,42,1,4.0
184,117,119,358,59,32,3,4.0
184,174,122,50,60,30,8,9.0
185,99,143,329,56,38,9,12.0
185,144,122,21,60,31,14,16.0
187,108,79,16,52,44,11,12.0
187,108,100,6,56,39,3,4.0
187,113,83,17,53,43,4,6.0
187,162,147,23,65,23,11,12.0
188,135,68,34,50,47,2,3.0
188,143,85,34,54,43,2,3.0
189,74,128,332,52,47,3,4.0
189,138,166,327,64,28,10,12.0
189,213,176,99,76,31,3,4.0
190,82,107,346,53,45,14,16.0
190,84,94,354,54,45,2,3.0
190,85,77,4,52,47,2,3.0
190,91,115,345,55,43,2,3.0
190,97,123,343,56,42,11,12.0
190,141,152,347,65,27,6,9.0
190,179,173,21,71,12,9,10.0
190,229,218,163,82,43,2,3.0
193,89,87,1,55,46,2,3.0
193,110,104,4,58,42,3,4.0
193,148,169,332,67,27,13,16.0
194,77,158,318,53,49,3,4.0
194,80,109,345,54,48,7,8.0
194,109,92,10,56,46,2,3.0
194,111,103,5,58,43,3,4.0
194,214,184,100,78,27,7,8.0
195,167,152,21,68,26,2,3.0
195,208,198,134,79,12,10,12.0
196,103,55,20,49,56,11,12.0
196,114,9,34,40,91,2,3.0
196,164,146,22,67,30,2,3.0
196,168,151,23,68,28,2,3.0
196,185,199,287,75,11,6,9.0
197,82,132,334,55,50,3,4.0
197,149,87,34,56,49,2,3.0
197,214,188,99,79,24,3,4.0
198,133,103,19,59,45,2,3.0
198,213,190,99,79,21,2,3.0
198,213,191,101,79,21,2,3.0
199,86,82,2,55,51,2,3.0
199,160,111,33,61,44,2,3.0
200,81,115,343,55,52,2,3.0
200,105,139,339,60,46,3,4.0
200,140,108,21,60,46,3,4.0
200,215,204,136,81,16,7,9.0
201,117,132,349,62,44,7,9.0
201,151,126,20,64,41,7,8.0
201,197,183,47,75,14,3,4.0
202,84,84,0,56,53,7,9.0
202,143,85,30,56,52,2,3.0
202,162,139,22,67,37,11,12.0
203,57,79,351,51,58,5,6.0
203,149,79,34,55,54,2,3.0
203,154,172,338,70,32,11,12.0
203,201,182,54,75,17,15,16.0
203,215,197,100,81,18,2,3.0
203,222,194,101,82,30,3,4.0
204,153,127,20,65,43,3,4.0
205,147,72,34,54,57,2,3.0
205,148,74,34,55,57,2,3.0
205,159,135,21,67,41,5,8.0
206,122,13,34,43,88,3,4.0
206,162,106,34,61,51,4,6.0
207,140,105,21,61,52,2,3.0
207,143,109,21,62,51,11,12.0
207,163,107,34,62,51,2,3.0
207,228,196,99,83,37,3,4.0
208,188,113,47,63,50,3,4.0
209,85,74,5,55,59,11,12.0
209,213,242,233,88,56,9,12.0
210,86,80,3,57,59,2,3.0
